1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,105.9,82.3,33.3,37.9,93.62,75.21,56.9,169.9,71.4,58.3,160.7,160.6,20.1,49.9,23.6,76.7,64.3,134.2,79.4,46.5,94.8,92.9,177.8,112.9,104.1,46.1,49.6,86.1,112.2,12.2,98.2,70.1,163.4,103.6,70.3,268.9,42.5,41.9,61.6,98.6,105.8,89.8,134.7,188.2,43.9,92.7,250.1,62.8,60.6
44,33,141.5,115.61,111.6,37.21,167.1,63,78.5,128.1,176,61.4,96.2,92.9,104.2,35.9,209.1,86.4,21.5,344.3,30.7,65.3,74,122.4,126.3,87,106.9,21.2,164.9,185,133.7,132,107.6,188,342.3,118,103.4,126.4,72.9,63.5,92,91.1,43.7,184.9,129.7,95.9,99.1,119.3,77,183.6
247.3,102.9,102.13,96.63,85.7,82.8,208.9,218,136.7,190.8,194.5,127.7,118.4,47.4,170.3,82.2,155.4,78.1,161.6,198.4,115.2,68.6,85.1,58.7,112.6,62.2,115.5,64.6,204.1,177.6,118.8,117.8,55.2,158,41.9,140.9,196.7,223.5,147.5,46.6,148.4,261.2,214.3,91.6,136.7,160.3,164.7,79.9,283.3,118.5
102,7,42.4,36.51,83.5,88.91,98.8,182.8,213,37.9,116.3,39.4,32.6,26,56,27.1,33.7,30.2,100.7,57.8,17.1,102.7,97.8,106.5,116.1,77.7,73,57.9,113.9,127,47.7,73.6,63,116.7,13.1,59.4,19.2,87,46.7,80.4,86.5,92.1,118.9,80.2,147.3,64.7,,96.9,114.4,112.4
0,12.2,6.61,17.9,0.01,24.41,25.3,17.6,35.6,0,28.5,52.2,7.2,21.5,39.4,9.1,37.5,26,37.9,63.9,19.7,25.7,5.6,2.6,9,24.8,6,10.8,10.9,26.2,27.1,6.7,10.7,79.2,49.7,23.5,71.3,10.4,6.2,19.6,2.3,5.4,26.5,19.5,46.4,30.7,9.7,40.3,65.4,95.5
,1.8,5.7,0,14.8,18.9,17.2,6.9,23.6,26.2,14.1,0,1.9,0,0,0,16.6,0.3,0,2,0,9,2.7,5.9,2.5,18.2,3.4,13.4,0,4.4,4.8,3.8,15.6,2.2,41.1,22.11,0,0.5,6.7,3.2,0.7,25.9,0,18.5,2.7,4.7,0,9,0.5,5.5
,9.2,19.6,0.8,0,3.4,7.2,0,5.8,0,14.1,0,3,6.7,3.8,0,0,0,5.6,14.5,1.3,1.2,5.2,1.1,0,0,0,2,0,0,0.9,0,0.4,0,1.1,8.6,0,6,3,2,0,2.2,7.7,2.8,1.2,10.6,6.1,0,13.8,
0,0,0.4,9.1,1.8,3.6,0.8,24.7,5.6,0,11.4,0,2.3,0,18.4,3.8,10.5,0,1.9,12.6,12.9,24.3,3.8,1,1.3,36.7,0,13.6,0,0,5.2,3.4,0,1.2,3,4.2,0,0,3.5,1.6,6.6,4.4,4,4.9,0,0,0,2.8,26.6,
201.5,0,13.6,54,30.2,29.9,9.2,32.7,45.4,37.6,54.1,0,40,20.2,67.4,1.5,12.6,59.7,27.8,19.8,18.1,1.2,42.5,16.5,40.9,5.2,7.5,47.3,27.5,17.9,21.9,29.3,37.2,21.6,94,65.6,17.6,25.7,15.3,24.4,35.5,59.6,27.3,24.5,6,20.5,43.7,12.5,9.3,
78,108.1,108.61,98.4,68.8,119.2,72,28.4,108.8,51.2,65.7,59.6,42.5,64.9,0,115.1,73.4,133.2,44.2,47.3,34.1,16,29.1,59.5,110,127.9,60.4,56.5,88.1,73,104.1,112.1,76.2,73.5,35,5.1,110.4,143.8,68.1,70.1,133,49.2,126.1,147.1,99.5,31.5,32.1,95,118.9,
69.3,57.6,22.3,20.6,136.5,105.1,69.3,54.6,64.1,46.2,31.1,25.5,79.8,80.2,57.1,135.5,150,71,32.6,59.5,32.6,64.1,117.5,50.7,41.4,128,37,18,108,75.9,67.3,22,124.2,25.6,75.3,48,99.8,121,113.1,138.1,28.8,90.9,110.3,93.2,130.3,52.8,53.6,167.5,37.5,
89.5,38.2,38.8,65.1,106.92,79.3,82.5,138.4,100.1,19.8,14.8,59.9,69.2,44.1,44.3,142.5,91.8,154.6,109,51.8,86.3,63.5,102.4,90.3,1.4,47.4,81.2,71.2,105.9,71,87.4,22.1,176.5,71.9,94.6,140.5,108.3,151.5,123,176,175.4,181.4,80.6,78,99.1,95.5,126.2,80.3,116.8,
