1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
50.3,78.2,141,70.1,67.1,120.7,117.7,60.47,99.49,123.91,122.34,214.22,181.93,74.7,76.82,87.92,80.73,85.11,214.53,50.74,43.6,115.03,123.1,108.81,126.92,33.92,76.41,57.02,92.33,76.72,60.53,92.41,59.55,69,136.71,56.7,196,61.5,136.8,47.8,63.5,156,189.1,185.1,290.6,98.2,73.9,200.5,129.2,
123,88.8,135.7,96.8,94.7,46.9,101.02,119.54,80.14,197.6,189.45,122.92,192.4,85.93,99.41,82.21,195,95.8,37.81,249.91,64.64,99.91,115.71,172.33,98.52,24,67.32,61.31,55.7,88.92,43.23,135.91,44.81,100.96,284,181.6,65.3,136.7,152.7,80.1,144.9,130.5,55.1,249.8,141.7,116.4,63.2,209,110.1,
210.4,65,96.7,138.2,151.9,114.22,288,202.47,197.93,158.1,322.61,153.22,177.26,55.92,268.52,137.52,162.6,93.32,207.02,152.63,76.85,115.64,90.02,77.2,131.16,9.33,54.12,108.16,97.52,78.21,77.62,115.61,67.73,146.05,60.5,196.3,260.5,197.6,107.7,103.5,174.5,289.2,187.8,182.7,144.1,134.5,225.2,128,302.8,
105.2,55.8,91.3,65.7,110.3,125.95,114.53,212.23,146.32,69.05,164.96,89.66,107.15,88.33,98.71,40.02,106.54,105.24,125.75,87.03,47.05,84.93,66.4,69.73,82.55,70.94,109.3,81.12,102.02,71.22,25.82,66.31,134.92,98.75,40.2,85.3,43,165,125.1,74.6,141.2,56.1,149.3,105.5,131.7,68.8,137.7,112.8,108.7,71.1
33.8,62.1,42.8,46.7,31.4,76.22,106.74,93.49,46.2,4.82,147.03,71.26,51.82,61.51,44.66,31.31,77.7,129.01,49.92,95.64,32.72,46.75,26.9,30.02,7.93,49.13,17.62,22.62,76.42,27.22,61.73,28.33,24.04,48.72,82.6,94.4,52.9,68.1,49.4,67.1,11,10.4,29,69.7,91.1,71.1,51.9,38.9,102,98.8
3.7,34.8,16,38.1,53.5,45.4,66.55,1.24,57.34,78.67,106.21,9.23,7.72,5.81,2.6,17.6,51.8,106.22,29.21,26.95,10.71,0.02,14.42,0,16.02,34.61,7.4,62.24,6.51,21.95,28.12,10.34,24.62,2.66,104.5,75.9,4.5,2.8,41.6,34.8,2.9,33.7,2.3,17,35.1,41,17.9,11.1,6.9,3.9
28.9,1.8,43.3,41.1,3.8,46.4,17.13,17.71,53.23,18.38,19.95,2.21,2.92,56.74,34.41,21.01,21.4,32.43,23.11,41.82,20.71,3.52,82.41,0.02,8.7,4.9,21.6,15.32,0.03,1.23,26.74,3.01,0.03,0.04,8.2,27.8,4.6,36.6,1.3,45.7,6.1,28.9,23.1,3.2,18.7,28.1,19.7,0.5,16.9,
8.7,17,9.1,11.8,11,11.54,8.06,41.84,44.3,53.58,47.45,25.62,9.41,1.23,48.91,11.2,96.9,0.02,26.21,33.72,18.7,40.7,0.9,0.01,0.04,6.41,0.03,33.24,22.62,2.9,0.04,17.92,14.92,4.3,5.5,6.7,0.3,0.3,41.3,20.3,3.5,3.1,38.2,27,6,3.4,8,8.7,67.3,
121.9,47.5,62.6,120.4,57.14,75.34,43.54,77.27,123.61,86.63,65.72,36.66,32.81,56.54,78.1,9.52,44.5,123.7,62.72,68.83,66.11,60.13,50.4,47.92,59.53,26.62,36.43,91.82,27.2,46.72,22.81,23.51,35.23,56.8,90.9,63,51.2,39.3,79.1,21.2,37.1,46.4,37,87.5,52.2,41.5,80.1,18.2,7.6,
115.8,213.7,154.7,153,107.93,208.05,188.33,85.53,86.51,172.04,94.15,76,112.62,54.41,20.32,204.53,164.71,186.44,82.81,154.64,15.51,31.11,16.81,62.15,99.6,94.61,31.53,88.51,75.83,48.15,93.11,87.95,48.52,209.1,27.9,24.7,106.3,133.5,94.3,148.3,161.6,116.8,121.4,151.1,134.4,50,70.2,95.5,135,
138.3,109.5,64,61.6,192.21,212.92,129.3,130.61,99.91,95.56,101.44,66.03,149.13,105.81,58.72,214.6,85.9,119.98,100.77,72.11,47.24,69.9,126.21,118.91,56.56,98.41,55.04,53.7,81.62,63.9,88.31,26.22,96.81,73.4,145.7,122.9,260.5,154.1,115.9,148.9,56.8,112.7,151,98.6,156.2,104.2,91.7,145.6,27.3,
128.6,28.2,81.9,95,102.2,140.98,118.34,107.15,94.6,103.1,15.43,69.38,136.92,125.34,54.82,72.33,102.01,171.52,161.94,59.26,95.91,94.31,,66.13,30.82,61.31,120.21,70.61,85.1,104.4,150.91,14.94,114.5,73.4,124,141.5,126.7,174.6,106.8,129,138.9,165.4,71.9,40.4,152.6,83.6,189.7,142.9,161.6,
