WEBERBAUER;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;62,72;120,9;58.02;42;71;58,42;55,5;95,39;61,62;95,61;130,4;129,91;12,71;84.11;34,9;78,2;71,7;116,6;24,7;24,6;84,41;98,2;109,7;87;101,8;43,8;52,6;61;116,9;44,7;65,2;63,8;103;94,8;46;191.21;27.02;51,13;36,1;84,92;83,2;95,4;80,24;180,71;49,52;76,61;154,22;61,52;74,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;45,92;139,51;81.03;73,71;41,81;97,8;67,6;70,82;140;156,5;62,93;146,4;34,41;81,61;42,4;186,51;102,9;75,7;233,6;42,4;47,7;95,2;105,5;158,8;68,5;90;31,8;112,2;103,1;108,3;124;152,9;116,5;242,7;162,3;100,8;60;61,43;102;53,7;101,6;17.51;133,3;74,61;112,91;73,31;134,7;98.01;62,41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
91;54,5;109,1;67,72;83,53;79,9;275,7;113,81;92,5;89.11;202.02;81,32;141,93;48,8;159,7;65,0;105,7;75,7;152,8;123,8;37,2;96,8;39,2;44,8;113,5;58,3;133,7;66,6;245;170,2;75,7;120,1;26,5;257;69,5;126,3;230,2;133,12;103,62;56,9;136,6;199,3;182,4;118,4;110,52;154.02;125,22;126,4;213,6;143,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78,1;47,91;32,3;26,2;85,7;54,53;54,71;76,2;101,61;59.02;68,82;34,51;42,6;37.02;37,1;29,31;33,72;88,7;105,7;80;41,9;120,2;52,2;95,6;85,4;27,4;55,2;46,5;102,9;144,9;49,7;50,4;40,4;83,9;65,0;77,3;57,2;77.21;42,1;44,52;54.01;77,61;111,51;99,12;78,81;88,41;102.03;72,82;73,81;78,82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10,4;40.01;44.11;14,9;1,51;33,83;8;18,1;23,8;4.64;66,81;43.01;25.52;65,6;16,3;6,91;14,7;38,2;31,1;69,5;53;16,2;9.1;10,61;18,8;39,5;17,9;18,9;30,2;35,3;20,6;13,7;17;19,6;53,7;40,51;48,14;23.04;30,71;42,4;7.21;7.7;29;22,72;42,2;31,64;16,7;51,51;62,63;26,92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;0;10,3;1,6;19,62;19,91;12,2;4.4;28,73;17,33;10.02;23.01;8;3.9;1,81;15,1;6.6;7.8;10.1;25,1;0.4;0,6;4;5.4;16,7;24,6;0,7;21,2;1,9;3.3;1,7;0,8;15,4;4.8;22,8;15,61;2,35;8,81;22.32;2.11;4.5;23,92;1,42;15.45;17,91;8,62;0,41;0,21;7.5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6.2;0;28,4;1,61;0,3;3.2;17,6;3.4;8.46;6.53;7.2;0,12;7.52;4.4;7.5;3.2;7.2;2.1;9,6;23,4;4.8;1.2;10,8;0;3.2;0,8;0.4;4.6;3.3;0;13,2;0,5;0,2;1.3;22,1;2.11;13,91;10,72;1,81;13,8;0,6;1,82;10,74;2,31;12.32;2.6;8.32;0;5.7;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,01;0,7;5.8;16,2;;2.51;17.2;20,6;19.35;27,3;19.31;4.41;0,12;3.8;15,71;6,71;12,7;6.6;2,7;18,7;18,3;14,6;12,3;0.4;5.9;7.1;0,3;10;2.9;0,2;10,8;15,8;0;4.7;1.2;13,4;0,02;3.4;10,6;29,4;3,5;6.11;6.41;11,71;3,92;1,33;0,03;2,54;8,93;3,91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49.21;13.12;24,9;50;18.41;18.23;28,1;;91.04;38,72;45.11;12.32;16,1;25.01;33,6;2.3;22.01;43,9;19,2;36,7;37,3;1.3;39,51;32,9;53,5;20,1;10,2;40,8;51,4;11,9;11,5;13,9;27,4;17,8;81,4;56,61;34,43;14,62;14,84;19.01;31.21;33,61;11,62;34,72;11,8;28,95;47.12;19.12;3,7;27,71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83,61;76,81;101.01;66,4;;103.01;89,8;31.41;67.02;70,71;80,2;32,2;53,41;24,4;24,4;130,4;111,9;124,8;86,9;68,6;50;43,6;37,2;69,4;106,6;87,6;28,2;64;106,3;27,2;51,8;76,2;50,8;79,6;21,7;9,92;46,23;90,3;46.03;63,41;92,3;12,71;118,9;96,51;78,53;43,41;31,5;83.22;110,7;26,32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66.01;62,7;17,81;54,6;106,4;51,41;45,81;66,52;65,51;55,1;65,1;71,6;54,8;54.01;26,3;111;45,6;67,3;28,1;97,6;23,9;66,2;74,3;65,2;47,1;99,1;55,1;32;71,4;89,8;50,5;68,8;119,9;29,1;77;44,5;93,41;99,91;63,81;92,6;30;60,4;97,61;72.02;109,41;52,51;24,41;120,31;17;45,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67,94;18,74;36,7;70,81;162;54.12;66,54;50,22;75;76,81;0,9;44,42;68,22;44,81;46,61;106,7;111,3;87,4;118,4;104,1;40,3;51,8;61,5;63,4;2,7;72,3;71,9;34,1;84,1;122,6;76,4;34,1;129,4;47,9;68,8;122,3;90,91;86,1;80,72;123,71;87,8;81,7;68,8;0;74,22;70,86;109,71;58,3;51,91;114,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SHUGAR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
